Pacer,clave_segmento,Se_duerme_horas,Segmento,km_acumulado,distancia_segmento_km,elevacion,bajada,P75_terminaron,limite_de_tiempo,transicion_tiempo_segmento,transicion_tiempo_segmento_con_dormir,tiempo_de_lentos,tiempo_ajustado,tiempo_final_ajustado_segmento,tiempo_final_ajustado_acumulado,carbs_segmento,calorias_segmento,litros_segmento,acaba,empieza
,a,,Armstrong Pass 1,23.9630726,23.9630726,888.7968,646.4808,0.0474,,,,4.8347999999999995,4.8347999999999995,4.8347999999999995,4.8347999999999995,483.47999999999996,1450.4399999999998,3.6260999999999997,2025-06-13 13:50:05.280000000,2025-06-13 09:00:00.000000000
,,,Trancisión 1,,,,,0.0,,0.25,0.25,,0.25,0.25,5.0847999999999995,,,,2025-06-13 14:05:05.280000000,2025-06-13 13:50:05.280000000
,b,,Housewife Hill,50.9195176,26.9564452,717.1944,1259.7384,0.0381,,,,3.8862,3.8862,3.8862,8.971,388.62,1165.8600000000001,2.91465,2025-06-13 17:58:15.600000000,2025-06-13 14:05:05.280000000
,,,Trancisión 2,,,,,0.0,,0.25,0.25,,0.25,0.25,9.221,,,,2025-06-13 18:13:15.600000000,2025-06-13 17:58:15.600000000
,c,,Armstrong Pass 2,77.8759626,26.9564454,1259.7384,717.1944,0.0896,,,,9.139199999999999,9.139199999999999,9.139199999999999,18.3602,913.9199999999998,2741.7599999999998,6.854399999999999,2025-06-14 03:21:36.720000000,2025-06-13 18:13:15.600000000
,,,Trancisión 3,,,,,0.0,,0.25,0.25,,0.25,0.25,18.6102,,,,2025-06-14 03:36:36.719999999,2025-06-14 03:21:36.720000000
,d,,Heavenly,101.8390352,23.9630726,646.4808,888.7968,0.0672,Saturday 3:00 PM,,,6.854399999999999,6.854399999999999,6.854399999999999,25.464599999999997,685.4399999999999,2056.3199999999997,5.1408,2025-06-14 10:27:52.560000000,2025-06-14 03:36:36.719999999
,,1.0,Trancisión 4,,,,,0.0,,,1.0,,1.0,1.0,26.464599999999997,,,,2025-06-14 11:27:52.560000000,2025-06-14 10:27:52.560000000
Luis,1,,Spooner Summit 1,130.7266882,28.8876532,908.9136,1016.8128,0.102,Saturday 11:30 PM,,,,,7.307787778804275,33.77238777880427,584.6230223043419,2009.6416391711755,5.480840834103206,2025-06-14 18:46:20.596003694,2025-06-14 11:27:52.560000000
,,,Trancisión 5,,,,,0.0,,0.25,0.25,,0.25,0.25,34.02238777880427,,,,2025-06-14 19:01:20.596003694,2025-06-14 18:46:20.596003694
Huevo,2,,Village Green 1,160.3063574,29.5796692,694.3344,1070.7624,0.0829,Sunday 8:30 AM,,,,,5.939368694734064,39.96175647353834,475.1494955787251,1633.3263910518676,4.454526521050548,2025-06-15 00:57:42.323304736,2025-06-14 19:01:20.596003694
,,,Trancisión 6,,,,,0.0,,0.25,0.25,,0.25,0.25,40.21175647353834,,,,2025-06-15 01:12:42.323304736,2025-06-15 00:57:42.323304736
Gavilan,3,,Brockway Summit 1,181.5818322,21.2754748,972.0072,719.6328,0.0898,Sunday 3:30 PM,,,,,6.433719044476707,46.64547551801505,514.6975235581365,1769.2727372310944,4.82528928335753,2025-06-15 07:38:43.711864854,2025-06-15 01:12:42.323304736
,,2.0,Trancisión 7,,,,,0.0,,,2.0,,2.0,2.0,48.64547551801505,,,,2025-06-15 09:38:43.711864854,2025-06-15 07:38:43.711864854
Gavilan,4,,Tahoe City,211.869611,30.2877788,754.9896,1060.3992,0.0873,Monday 2:30 AM,,,,,6.2546065989177775,54.90008211693282,500.3685279134222,1720.0168147023887,4.690954949188333,2025-06-15 15:54:00.295620958,2025-06-15 09:38:43.711864854
,,,Trancisión 8,,,,,0.0,,0.25,0.25,,0.25,0.25,55.15008211693282,,,,2025-06-15 16:09:00.295620958,2025-06-15 15:54:00.295620958
,5,,Brockway Summit 2,242.1573898,30.2877788,1060.3992,754.9896,0.1035,Monday 1:30 PM,,,,,7.415255246139632,62.56533736307245,444.9153147683779,1853.8138115349082,5.561441434604724,2025-06-15 23:33:55.214507059,2025-06-15 16:09:00.295620958
,,1.0,Trancisión 9,,,,,0.0,,,1.0,,1.0,1.0,63.56533736307245,,,,2025-06-16 00:33:55.214507059,2025-06-15 23:33:55.214507059
Luis,6,,Village Green 2,263.4328646,21.2754748,719.6328,972.0072,0.0935,Monday 8:00 PM,,,,,6.69880546390392,70.26414282697637,401.9283278342352,1674.70136597598,5.02410409792794,2025-06-16 07:15:50.914177113,2025-06-16 00:33:55.214507059
,,,Trancisión 10,,,,,0.0,,0.25,0.25,,0.25,0.25,70.51414282697637,,,,2025-06-16 07:30:50.914177113,2025-06-16 07:15:50.914177113
Huevo,7,,Spooner Summit 2,293.7367368,30.3038722,1070.7624,849.1728,0.1018,Tuesday 7:00 AM,,,,,7.293458783159562,77.80760161013593,437.6075269895737,1823.3646957898907,5.470094087369672,2025-06-16 14:48:27.365796489,2025-06-16 07:30:50.914177113
,,,Trancisión 11,,,,,0.0,,0.25,0.25,,0.25,0.25,78.05760161013593,,,,2025-06-16 15:03:27.365796489,2025-06-16 14:48:27.365796489
Gavilan,8,,Finish,321.9001868,28.1634533,1024.7376,908.9136,0.0969,Tuesday 6:00 PM,,,,,6.942398389864063,85.0,416.54390339184374,1735.5995974660157,5.206798792398047,2025-06-16 22:00:00.000000000,2025-06-16 15:03:27.365796489
