Segmento,pouch,polvo,barras,geles
Armstrong Pass,0,3,2,4
Trancisión 1,0,0,0,0
Housewife Hill,0,3,1,2
Trancisión 2,0,0,0,0
Armstrong Pass 2,0,6,2,3
Trancisión 3,0,0,0,0
Heavenly,0,4,4,4
Trancisión 4,0,0,0,0
Spooner Summit 1,1,4,2,1
Trancisión 5,0,0,0,0
Village Green 1,1,3,2,1
Trancisión 6,0,0,0,0
Brockway Summit 1,1,3,2,2
Trancisión 7,0,0,0,0
Tahoe City,1,3,2,2
Trancisión 8,0,0,0,0
Brockway Summit 2,1,3,1,2
Trancisión 9,0,0,0,0
Village Green 2,1,2,2,2
Trancisión 10,0,0,0,0
Spooner Summit 2,1,3,1,1
Trancisión 11,0,0,0,0
Finish,1,3,1,1
